sample,wavelength,reflectance
Brown Pine Needles,2045.2,0.1525749
Dried Green Needles,2045.2,0.17112017
"Oak leaf, scenesced",2045.2,0.33006075
"Oak leaf, one year old",2045.2,0.16120818
CerCis_spec,2045.2,0.16845725
EucGlo_NPV_spec,2045.2,0.47386143
CorSel_NPV_spec,2045.2,0.68743247
HetArb_NPV_spec,2045.2,0.31730407
EucGlo_spec,2045.2,0.14017427
CorSel_spec,2045.2,0.2420939
"Oak leaf, new growth",2045.2,0.15681624
polysterene,2045.2,2.112473
Pine Bark,2045.2,0.33956817
HDPE_film,2045.2,8.74981
PVC,2045.2,1.0712575
sycamore bark,2045.2,0.38591167
HDPE_bottle,2045.2,7.28565
HetArb_spec,2045.2,0.107603066
Kaolinite,2045.9,0.5074599
Montmorillonite,2045.9,0.49748093
Saponite,2045.9,0.4462464
Hectorite,2045.9,0.41149774
Sepiolite,2045.9,0.4379298
Magnesite,2045.9,0.5848934
Vermiculite,2045.9,0.75100046
Bentonite,2045.9,0.20122841
Buddingtonite,2045.9,0.4460862
maple,2045.9,0.1517778
Fresh Pine Needles,2045.9,0.06696739
Brown Pine Needles,2045.9,0.15210842
Dried Green Needles,2045.9,0.17070709
"Oak leaf, scenesced",2045.9,0.32940668
"Oak leaf, one year old",2045.9,0.16150662
CerCis_spec,2045.9,0.1690671
EucGlo_NPV_spec,2045.9,0.47279057
CorSel_NPV_spec,2045.9,0.68543833
HetArb_NPV_spec,2045.9,0.31666753
EucGlo_spec,2045.9,0.1403971
CorSel_spec,2045.9,0.2426655
"Oak leaf, new growth",2045.9,0.15714186
polysterene,2045.9,2.1125233
Pine Bark,2045.9,0.33895287
HDPE_film,2045.9,8.752975
PVC,2045.9,1.0706786
sycamore bark,2045.9,0.38539279
HDPE_bottle,2045.9,7.282015
HetArb_spec,2045.9,0.10780647
Kaolinite,2046.6,0.507172
Montmorillonite,2046.6,0.4980308
Saponite,2046.6,0.44662815
Hectorite,2046.6,0.41179085
Sepiolite,2046.6,0.43819237
Magnesite,2046.6,0.5850926
Vermiculite,2046.6,0.75150067
Bentonite,2046.6,0.20168489
Buddingtonite,2046.6,0.4462057
maple,2046.6,0.15223369
Fresh Pine Needles,2046.6,0.067065075
Brown Pine Needles,2046.6,0.15164685
Dried Green Needles,2046.6,0.17028491
"Oak leaf, scenesced",2046.6,0.3287162
"Oak leaf, one year old",2046.6,0.16175304
CerCis_spec,2046.6,0.16965634
EucGlo_NPV_spec,2046.6,0.47181836
CorSel_NPV_spec,2046.6,0.6833575
HetArb_NPV_spec,2046.6,0.31604466
EucGlo_spec,2046.6,0.1406428
CorSel_spec,2046.6,0.24323435
"Oak leaf, new growth",2046.6,0.15742819
polysterene,2046.6,2.112678
Pine Bark,2046.6,0.3383311
HDPE_film,2046.6,8.757966
PVC,2046.6,1.0699518
sycamore bark,2046.6,0.38487315
HDPE_bottle,2046.6,7.2806864
HetArb_spec,2046.6,0.1079922
Kaolinite,2047.3,0.506901
Montmorillonite,2047.3,0.4985535
Saponite,2047.3,0.44706953
Hectorite,2047.3,0.41211605
Sepiolite,2047.3,0.43847182
Magnesite,2047.3,0.5853432
Vermiculite,2047.3,0.75248724
Bentonite,2047.3,0.2021407
Buddingtonite,2047.3,0.44632444
maple,2047.3,0.15273681
Fresh Pine Needles,2047.3,0.06715901
Brown Pine Needles,2047.3,0.1512036
Dried Green Needles,2047.3,0.16986527
"Oak leaf, scenesced",2047.3,0.32804853
"Oak leaf, one year old",2047.3,0.16198674
CerCis_spec,2047.3,0.17025988
EucGlo_NPV_spec,2047.3,0.47091866
CorSel_NPV_spec,2047.3,0.68116075
HetArb_NPV_spec,2047.3,0.31546852
EucGlo_spec,2047.3,0.14091982
CorSel_spec,2047.3,0.24385507
"Oak leaf, new growth",2047.3,0.15769905
polysterene,2047.3,2.1124127
Pine Bark,2047.3,0.3376967
HDPE_film,2047.3,8.763707
PVC,2047.3,1.0689136
sycamore bark,2047.3,0.3842654
HDPE_bottle,2047.3,7.280538
HetArb_spec,2047.3,0.10821073
Kaolinite,2048,0.5066328
Montmorillonite,2048,0.4990458
Saponite,2048,0.4475604
Hectorite,2048,0.4124583
Sepiolite,2048,0.43875942
Magnesite,2048,0.5856728
Vermiculite,2048,0.75371176
Bentonite,2048,0.20259906
Buddingtonite,2048,0.4464943
maple,2048,0.15329626
Fresh Pine Needles,2048,0.06725578
Brown Pine Needles,2048,0.15077215
Dried Green Needles,2048,0.16943799
"Oak leaf, scenesced",2048,0.32741222
"Oak leaf, one year old",2048,0.16223279
CerCis_spec,2048,0.17088708
EucGlo_NPV_spec,2048,0.4699999
CorSel_NPV_spec,2048,0.6788829
HetArb_NPV_spec,2048,0.31499875
EucGlo_spec,2048,0.14121331
CorSel_spec,2048,0.24452652
"Oak leaf, new growth",2048,0.15797603
polysterene,2048,2.1119235
Pine Bark,2048,0.33704227
HDPE_film,2048,8.772286
PVC,2048,1.0677022
sycamore bark,2048,0.38354647
HDPE_bottle,2048,7.2801495
HetArb_spec,2048,0.10846107
Kaolinite,2048.7,0.50635105
Montmorillonite,2048.7,0.4995378
Saponite,2048.7,0.44804528
Hectorite,2048.7,0.412774
Sepiolite,2048.7,0.43901744
Magnesite,2048.7,0.5860253
Vermiculite,2048.7,0.75482094
Bentonite,2048.7,0.2030694
Buddingtonite,2048.7,0.44671875
maple,2048.7,0.15389483
Fresh Pine Needles,2048.7,0.06737513
Brown Pine Needles,2048.7,0.15034898
Dried Green Needles,2048.7,0.16901499
"Oak leaf, scenesced",2048.7,0.32678944
"Oak leaf, one year old",2048.7,0.16249312
CerCis_spec,2048.7,0.17156734
EucGlo_NPV_spec,2048.7,0.46900287
CorSel_NPV_spec,2048.7,0.67659897
HetArb_NPV_spec,2048.7,0.31461242
EucGlo_spec,2048.7,0.14150402
CorSel_spec,2048.7,0.24527325
"Oak leaf, new growth",2048.7,0.15828754
polysterene,2048.7,2.1113596
Pine Bark,2048.7,0.33637723
HDPE_film,2048.7,8.781348
PVC,2048.7,1.0665009
sycamore bark,2048.7,0.38283998
HDPE_bottle,2048.7,7.278735
HetArb_spec,2048.7,0.108733706
Kaolinite,2049.4,0.50606745
Montmorillonite,2049.4,0.4999986
Saponite,2049.4,0.44848165
Hectorite,2049.4,0.41305435
Sepiolite,2049.4,0.4392433
Magnesite,2049.4,0.5863302
Vermiculite,2049.4,0.75555944
Bentonite,2049.4,0.20355321
Buddingtonite,2049.4,0.44699976
maple,2049.4,0.15449844
Fresh Pine Needles,2049.4,0.067519374
Brown Pine Needles,2049.4,0.1499258
Dried Green Needles,2049.4,0.16859676
"Oak leaf, scenesced",2049.4,0.3261364
"Oak leaf, one year old",2049.4,0.1627574
CerCis_spec,2049.4,0.17225198
EucGlo_NPV_spec,2049.4,0.4679037
CorSel_NPV_spec,2049.4,0.6743971
HetArb_NPV_spec,2049.4,0.3142537
EucGlo_spec,2049.4,0.14177296
CorSel_spec,2049.4,0.24603173
"Oak leaf, new growth",2049.4,0.1585818
polysterene,2049.4,2.1111023
Pine Bark,2049.4,0.33569732
HDPE_film,2049.4,8.790359
PVC,2049.4,1.0654432
sycamore bark,2049.4,0.38223037
HDPE_bottle,2049.4,7.275939
HetArb_spec,2049.4,0.10898301
Kaolinite,2050.1,0.5058001
Montmorillonite,2050.1,0.5004078
Saponite,2050.1,0.44884083
Hectorite,2050.1,0.41332352
Sepiolite,2050.1,0.4394523
Magnesite,2050.1,0.586523
Vermiculite,2050.1,0.75585747
Bentonite,2050.1,0.20405689
Buddingtonite,2050.1,0.4472854
maple,2050.1,0.1550827
Fresh Pine Needles,2050.1,0.06768296
Brown Pine Needles,2050.1,0.14950095
Dried Green Needles,2050.1,0.16819361
"Oak leaf, scenesced",2050.1,0.32548565
"Oak leaf, one year old",2050.1,0.1630266
CerCis_spec,2050.1,0.17292999
EucGlo_NPV_spec,2050.1,0.4667507
CorSel_NPV_spec,2050.1,0.6723357
HetArb_NPV_spec,2050.1,0.3138029
EucGlo_spec,2050.1,0.14202036
CorSel_spec,2050.1,0.24675992
"Oak leaf, new growth",2050.1,0.15884478
polysterene,2050.1,2.1110585
Pine Bark,2050.1,0.3350116
HDPE_film,2050.1,8.793835
PVC,2050.1,1.0645639
