Date,cf_200,cf_2000
2019-10-14,0.147148,0.000586
2019-10-17,0.139432,0.000013
2019-10-19,0.319040,0.001992
2019-10-22,0.198235,0.001568
2019-10-24,0.419906,0.015276
2019-10-27,0.210984,0.000687
2019-10-29,0.514845,0.034508
2019-11-01,0.357830,0.012405
2019-11-03,0.377201,0.009670
2019-11-06,0.815805,0.249174
2019-11-08,0.523800,0.051083
2019-11-11,0.446127,0.025570
2019-11-13,0.268659,0.001560
2019-11-16,0.202762,0.000288
2019-11-18,0.000098,0.000000
2019-11-21,0.032224,0.000000
2019-11-23,0.066340,0.000034
2019-11-26,0.181204,0.003252
2019-11-28,0.120021,0.003289
2019-12-01,0.276067,0.007504
2019-12-03,0.282618,0.013337
2019-12-06,0.124044,0.003059
2019-12-08,0.315510,0.000763
2019-12-11,0.152989,0.000174
2019-12-13,0.040658,0.000735
2019-12-16,0.079022,0.000451
2019-12-18,0.044836,0.001680
2019-12-21,0.088766,0.002597
2019-12-23,0.000000,0.000000
2019-12-26,0.042772,0.000851
2019-12-28,0.159179,0.008776
2019-12-31,0.002042,0.000000
2020-01-02,0.144949,0.000683
2020-01-05,0.185184,0.008625
2020-01-07,0.063567,0.000821
2020-01-10,0.004313,0.000000
2020-01-12,0.003666,0.000000
2020-01-15,0.033220,0.000087
2020-01-17,0.016381,0.000000
2020-01-20,0.048479,0.000013
2020-01-22,0.042317,0.000211
2020-01-25,0.057857,0.000575
2020-01-27,0.118773,0.000526
2020-01-30,0.024234,0.000784
2020-02-01,0.046004,0.002636
2020-02-04,0.124200,0.007644
2020-02-06,0.099921,0.001233
2020-02-09,0.003708,0.000000
2020-02-11,0.000000,0.000000
2020-02-14,0.008349,0.000000
2020-02-16,0.066768,0.002028
2020-02-19,0.000118,0.000000
2020-02-21,0.000000,0.000000
2020-02-24,0.020371,0.000465
2020-02-26,0.001074,0.000000
2020-02-29,0.254928,0.016493
2020-03-02,0.012116,0.000001
2020-03-05,0.001359,0.000000
2020-03-07,0.059172,0.000106
2020-03-10,0.001858,0.000000
2020-03-12,0.159398,0.007744
2020-03-15,0.000000,0.000000
2020-03-17,0.229400,0.002503
2020-03-20,0.000000,0.000000
2020-03-22,0.002788,0.000000
2020-03-25,0.122448,0.000782
2020-03-27,0.203071,0.001391
2020-03-30,0.010126,0.000003
2020-04-01,0.067569,0.000385
2020-04-04,0.053263,0.000283
2020-04-06,0.070574,0.000569
2020-04-09,0.034176,0.000003
2020-04-11,0.000070,0.000000
2020-04-14,0.000000,0.000000
2020-04-16,0.026710,0.000000
2020-04-19,0.000000,0.000000
2020-04-21,0.000328,0.000000
2020-04-24,0.016873,0.000023
2020-04-26,0.002803,0.000000
2020-04-29,0.030354,0.000075
2020-05-01,0.057375,0.000050
2020-05-04,0.156060,0.001761
2020-05-06,0.002549,0.000000
2020-05-09,0.161074,0.002462
2020-05-11,0.042592,0.000000
2020-05-14,0.002957,0.000000
2020-05-16,0.017687,0.000008
2020-05-19,0.122561,0.001186
2020-05-21,0.025593,0.000081
2020-05-24,0.125047,0.000278
2020-05-26,0.466038,0.074950
2020-05-29,0.085127,0.000000
2020-05-31,0.105851,0.000348
2020-06-03,0.254462,0.016727
2020-06-05,0.039018,0.000020
2020-06-08,0.216954,0.000670
2020-06-10,0.083136,0.000553
2020-06-13,0.282073,0.007661
2020-06-15,0.005203,0.000000
2020-06-18,0.010462,0.000000
2020-06-20,0.100138,0.002044
2020-06-23,0.036065,0.000004
2020-06-25,0.074655,0.000098
2020-06-28,0.062938,0.000198
2020-06-30,0.112459,0.000162
2020-07-03,0.109349,0.000176
2020-07-05,0.080932,0.000128
2020-07-08,0.468002,0.015229
2020-07-10,0.075621,0.000009
2020-07-13,0.168480,0.000516
