sample,wavelength,reflectance
Maple Leaf,2054.3,0.1585313
"Oak leaf, scenesced",2054.3,0.32223624
"Oak leaf, one year old",2054.3,0.16453604
"Oak leaf, new growth",2054.3,0.16014118
Polysterene,2054.3,0.21127522
HDPE film,2054.3,0.8769029
PVC,2054.3,0.10596051
HDPE bottle,2054.3,0.7224942
Saponite,2055,0.45183286
Hectorite,2055,0.41522932
Sepiolite,2055,0.4416968
Magnesite,2055,0.58794695
Vermiculite,2055,0.7659342
Maple Leaf,2055,0.15913618
"Oak leaf, scenesced",2055,0.32180578
"Oak leaf, one year old",2055,0.16477048
"Oak leaf, new growth",2055,0.1604253
Polysterene,2055,0.2113728
HDPE film,2055,0.8765995
PVC,2055,0.10587511
HDPE bottle,2055,0.7221645
Saponite,2055.7,0.45218757
Hectorite,2055.7,0.41542268
Sepiolite,2055.7,0.4418202
Magnesite,2055.7,0.58791506
Vermiculite,2055.7,0.76862127
Maple Leaf,2055.7,0.15970193
"Oak leaf, scenesced",2055.7,0.3213982
"Oak leaf, one year old",2055.7,0.16506387
"Oak leaf, new growth",2055.7,0.16077724
Polysterene,2055.7,0.21154191
HDPE film,2055.7,0.8762544
PVC,2055.7,0.10581928
HDPE bottle,2055.7,0.721353
Saponite,2056.4,0.4524375
Hectorite,2056.4,0.41561902
Sepiolite,2056.4,0.44188678
Magnesite,2056.4,0.5877871
Vermiculite,2056.4,0.77065945
Maple Leaf,2056.4,0.1602426
"Oak leaf, scenesced",2056.4,0.32091442
"Oak leaf, one year old",2056.4,0.1654275
"Oak leaf, new growth",2056.4,0.16120116
Polysterene,2056.4,0.21179147
HDPE film,2056.4,0.8761663
PVC,2056.4,0.10578588
HDPE bottle,2056.4,0.72049336
Saponite,2057.1,0.45264438
Hectorite,2057.1,0.41579622
Sepiolite,2057.1,0.44196215
Magnesite,2057.1,0.5876263
Vermiculite,2057.1,0.7716586
Maple Leaf,2057.1,0.16079289
"Oak leaf, scenesced",2057.1,0.32029602
"Oak leaf, one year old",2057.1,0.16582137
"Oak leaf, new growth",2057.1,0.16170013
Polysterene,2057.1,0.21209562
HDPE film,2057.1,0.8762664
PVC,2057.1,0.10576128
